pctORB,pctDRB,pctAST,pctSTL,pctBLK,pctTOV,ptsPerGame,pctUSG,ratioPER,pctFTRate,pctFT,fgaPerMinute,FG% by Distance 2P,FG% by Distance (3P),% of FG Ast'd 2P,% of FGA by Distance 3P,Corner 3s %3PA,% of FG Ast'd 3P,Dunks,% of FGA by Distance (0-3),% of FGA by Distance (3-10),% of FGA by Distance (10-16),% of FGA by Distance (16-3P)
0.11199999999999999,0.19699999999999998,0.057999999999999996,0.013999999999999999,0.02,0.13,8.2,0.135,14.8,0.318,0.721,8.4,0.57,0,0.663,0.005,0,NA,0.166,0.57,0.192,0.075,0.159
0.012,0.125,0.237,0.019,0.3,0.149,10.9,0.179,14.3,0.27,0.817,10.5,0.458,0.406,0.149,0.297,0.272,0.955,0.007,0.318,0.097,0.073,0.215
0.048,0.161,0.051,0.9,0.013000000000000001,0.142,2.5,0.248,7.6,0.079,0.833,16,0.326,0.433,0.4,0.395,0,1,0.026,0.171,0.053,0.092,0.289
0.012,0.11199999999999999,0.062,0.011000000000000001,0.4,0.059000000000000004,9.1,0.182,10.3,0.087,0.875,12.7,0.356,0.387,0.596,0.612,0.309,0.954,0.012,0.067,0.026,0.074,0.22
0.01,0.075,0.18100000000000002,0.011000000000000001,0.4,0.11199999999999999,19.7,0.228,15.1,0.337,0.872,14.8,0.441,0.36,0.235,0.386,0.223,0.704,0,0.139,0.086,0.102,0.288
0.046,0.14800000000000002,0.065,0.022000000000000002,0,0,4.5,0.20600000000000002,10.8,0.2,0.01,15.7,0.333,0.25,0.5,0.4,0.25,1,0.1,0.4,0.1,0.1,0
0.055999999999999994,0.11199999999999999,0.198,0.018000000000000002,0.4,0.201,5,0.158,10.4,0.323,0.576,8.7,0.478,0.133,0.341,0.053,0.133,0.5,0.046,0.561,0.154,0.042,0.189
0.127,0.281,0.14400000000000002,0.5,0.8,0.11900000000000001,2.9,0.23,14.2,0.308,0.583,14,0.375,0.333,0.556,0.385,0.133,1,0.077,0.385,0.077,0.026,0.128
0,0.377,0,0,0,0.376,1.7,0.193,2.8,0.015,0.333,6,1,NA,0.5,0,NA,NA,0,1,0,0,0
0.125,0.289,0.013999999999999999,0.9,0.057999999999999996,0.193,6.4,0.136,13.2,0.286,0.734,7.7,0.5,0,0.671,0.005,0.5,NA,0.212,0.532,0.157,0.21,0.097
0.136,0.21600000000000003,0.061,0.7,0.038,0.17800000000000002,5.7,0.10400000000000001,15.7,0.504,0.638,5.5,0.65,NA,0.643,0,NA,NA,0.261,0.821,0.139,0.032,0.007
0.6,0.085,0.26899999999999996,0.013999999999999999,0.1,0.18100000000000002,4.1,0.159,12.1,0.424,0.8,8.3,0.438,0.367,0.247,0.254,0.183,0.864,0.017,0.284,0.089,0.161,0.212
0.051,0.11,0.107,0.018000000000000002,0.011000000000000001,0.11199999999999999,13.6,0.215,12.8,0.187,0.721,14.6,0.489,0.2,0.505,0.131,0.289,0.944,0.029,0.389,0.18,0.126,0.174
0.098,0.235,0.013999999999999999,0.9,0.019,0.105,3,0.183,12.3,0.486,0.471,11.4,0.486,NA,0.647,0,NA,NA,0.143,0.314,0.057,0.2,0.429
0.023,0.102,0.381,0.025,0.012,0.155,14.9,0.252,14.5,0.219,0.757,15.4,0.406,0.302,0.145,0.342,0.098,0.505,0.003,0.29,0.083,0.108,0.176
0.094,0.128,0.065,0.017,0.9,0.11800000000000001,7,0.171,10.7,0.396,0.73,9.9,0.443,0.4,0.772,0.011,0.2,1,0.031,0.331,0.144,0.109,0.404
0.098,0.145,0.061,0.016,0.7,0.10300000000000001,4,0.179,10.7,0.347,0.794,11,0.412,0,0.725,0.01,0,NA,0.041,0.347,0.122,0.153,0.367
0.013000000000000001,0.077,0.16399999999999998,0.013000000000000001,0.5,0.13,6.4,0.174,7.1,0.147,0.861,11.2,0.358,0.315,0.604,0.453,0.333,0.943,0.004,0.09,0.033,0.102,0.322
0.055,0.147,0.09,0.019,0.011000000000000001,0.096,14.1,0.2,14.7,0.323,0.796,12.8,0.45,0.4,0.724,0.034,0.55,0.875,0.046,0.328,0.095,0.088,0.455
0.053,0.138,0.212,0.012,0.016,0.185,13.2,0.19699999999999998,14.4,0.166,0.687,11.6,0.531,0.414,0.566,0.205,0.105,0.987,0.017,0.374,0.208,0.051,0.162
0.036000000000000004,0.079,0.047,0.8,0.6,0.066,3.4,0.133,6.4,0.088,0.526,9.2,0.463,0.313,0.56,0.751,0.46,1,0.014,0.115,0.009,0.023,0.101
