idPlayer,namePlayer,heightInches
201961,Wayne Ellington,76
201936,Tyreke Evans,78
201938,Jonny Flynn,72
202178,Sundiata Gaines,73
202087,Alonzo Gee,78
201959,Taj Gibson,81
201821,Trey Gilder,81
201980,Danny Green,78
201981,Taylor Griffin,79
2409,Marcus Haislip,82
201935,James Harden,77
200839,Mike Harris,78
201945,Gerald Henderson,77
201941,Jordan Hill,82
201950,Jrue Holiday,75
201991,Lester Hudson,75
201805,Chris Hunter,83
2212,Steven Hunter,84
201586,Serge Ibaka,82
101141,Ersan Ilyasova,81
202132,Cedric Jackson,75
201785,Othyus Jeffers,77
201943,Brandon Jennings,73
201973,Jonas Jerebko,82
201949,James Johnson,79
201207,Coby Karl,77
201802,Oliver Lafayette,74
202068,Marcus Landry,79
201951,Ty Lawson,71
101133,Ian Mahinmi,83
202083,Wesley Matthews,76
201953,Eric Maynor,75
201975,Jodie Meeks,76
201988,Patty Mills,72
201957,Byron Mullens,84
2457,Jannero Pargo,73
201985,AJ Price,74
201181,Chris Richard,81
201160,Jason Smith,84
201969,DaJuan Summers,80
201966,Jermaine Taylor,76
201952,Jeff Teague,75
202066,Garrett Temple,77
201934,Hasheem Thabeet,87
201977,Marcus Thornton,76
2224,Jamaal Tinsley,75
2366,Mike Wilks,70
1715,Jason Williams,73
202130,Reggie Williams,78
201944,Terrence Williams,78
201970,Sam Young,78
202374,Solomon Alabi,85
202332,Cole Aldrich,83
202329,Al-Farouq Aminu,80
202341,James Anderson,78
201600,Omer Asik,84
202337,Luke Babbitt,81
202339,Eric Bledsoe,73
202344,Trevor Booker,80
202342,Craig Brackins,82
202340,Avery Bradley,75
202382,Derrick Caracter,81
2735,Josh Childress,80
202395,Sherron Collins,71
202408,Marcus Cousin,83
202326,DeMarcus Cousins,82
202348,Jordan Crawford,77
202334,Ed Davis,81
202220,Zabian Dowdell,75
2648,Ronald Dupree,79
202365,Devin Ebanks,81
201623,Semih Erden,84
202379,Jeremy Evans,81
201607,Patrick Ewing,80
201963,Christian Eyenga,79
202324,Derrick Favors,81
202361,Landry Fields,79
201814,Gary Forbes,79
202331,Paul George,80
101158,Orien Greene,76
201933,Blake Griffin,81
202376,Luke Harangody,79
202412,Manny Harris,77
202330,Gordon Hayward,79
202351,Lazar Hayward,78
202333,Xavier Henry,78
202345,Damion James,79
200817,Pooh Jeter,71
202356,Armon Johnson,75
202419,Chris Johnson,83
202325,Wesley Johnson,79
202346,Dominique Jones,77
202371,Gani Lawal,81
202391,Jeremy Lin,75
101249,John Lucas III,71
202328,Greg Monroe,83
202389,Timofey Mozgov,85
202380,Hamady Ndiaye,84
202390,Gary Neal,76
202082,Larry Owens,79
202335,Patrick Patterson,80
201593,Nikola Pekovic,83
202354,Dexter Pittman,83
202347,Quincy Pondexter,79
202360,Andy Rautins,76
202336,Larry Sanders,83
202338,Kevin Seraphin,82
201203,Mustafa Shakur,75
202081,Garret Siler,83
202397,Ish Smith,72
201168,Tiago Splitter,83
202362,Lance Stephenson,78
202377,Pape Sy,79
202323,Evan Turner,78
202327,Ekpe Udoh,82
202386,Ben Uzoh,75
202349,Greivis Vasquez,78
202322,John Wall,75
202378,Willie Warren,76
202355,Hassan Whiteside,84
202730,Lavoy Allen,81
101187,Alan Anderson,78
202728,Keith Benson,83
202687,Bismack Biyombo,80
202705,MarShon Brooks,77
202692,Alec Burks,78
202710,Jimmy Butler,79
201182,Derrick Byars,79
202708,Norris Cole,74
2668,Josh Davis,80
201286,Eric Dawson,81
202458,Justin Dentmon,71
202406,Jerome Dyson,75
2765,Andre Emmett,77
202702,Kenneth Faried,80
202880,Jeff Foote,84
202622,Courtney Fortson,71
202690,Jimmer Fredette,74
202148,Mickell Gladness,83
202726,Andrew Goudelock,75
202706,Jordan Hamilton,79
202712,Justin Harper,82
202725,Josh Harrellson,82
202366,Jerome Jordan,84
202709,Cory Joseph,75
202683,Enes Kanter,82
202810,D.J. Kennedy,77
202688,Brandon Knight,74
202723,Malcolm Lee,77
202695,Kawhi Leonard,79
202809,Cory Higgins,77
202359,Darington Hobson,79
202715,Tyler Honeycutt,80
202862,Dennis Horner,81
202681,Kyrie Irving,74
202704,Reggie Jackson,74
202724,Charles Jenkins,75
201291,Carldell Johnson,70
201274,Ivan Johnson,80
202707,JaJuan Johnson,82
202720,Jon Leuer,82
202732,DeAndre Liggins,78
202714,Shelvin Mack,75
202731,Vernon Macklin,82
202734,E'Twaun Moore,75
202721,Darius Morris,76
202694,Marcus Morris Sr.,80
202693,Markieff Morris,81
202350,Daniel Orton,82
202951,Jeremy Pargo,74
202718,Chandler Parsons,81
202385,Ryan Reid,80
201937,Ricky Rubio,74
201041,Walker Russell,72
202729,Josh Selby,74
202697,Iman Shumpert,77
