heightInches,pctORB,pctDRB,pctAST,pctTOV,ptsPerMinute,pctUSG,pctFTRate,FG% by Distance 2P,FG% by Distance (3P),% of FGA by Distance 3P,% of FGA by Distance (0-10),% of FGA by Distance (10-3P)
81,0.062,0.184,0.138,0.2,6.2,0.101,0.315,0.431,0.5,0.012,0.565,0.423
82,0.102,0.191,0.084,0.119,10.3,0.157,0.157,0.479,0,0.12,0.651,0.229
78,0.033,0.09,0.104,0.096,14.6,0.184,0.158,0.509,0.352,0.319,0.383,0.29900000000000004
81,0.077,0.159,0.101,0.157,14.5,0.21,0.313,0.505,0.167,0.061,0.525,0.414
84,0.097,0.218,0.05599999999999999,0.133,11.6,0.163,0.395,0.515,0,0,0.9359999999999999,0.064
75,0.049,0.099,0.302,0.14,16.2,0.218,0.393,0.483,0.283,0.051,0.52,0.43
84,0.083,0.21899999999999997,0.179,0.151,14.2,0.184,0.443,0.482,0.411,0.091,0.495,0.41400000000000003
80,0.035,0.212,0.21600000000000005,0.191,11,0.145,0.272,0.554,0.378,0.411,0.356,0.23399999999999999
79,0.131,0.21,0.098,0.126,16.2,0.2,0.435,0.537,0,0.005,0.754,0.24000000000000002
90,0.096,0.241,0.1,0.16,21.1,0.262,0.426,0.548,1,0.001,0.732,0.267
82,0.128,0.159,0.039,0.162,11,0.196,0.396,0.406,0,0,0.634,0.367
80,0.033,0.175,0.07,0.078,10,0.124,0.169,0.54,0.355,0.386,0.255,0.358
84,0.076,0.177,0.066,0.171,8.3,0.106,0.296,0.553,0,0,0.5830000000000001,0.418
80,0.031,0.106,0.094,0.121,10.6,0.175,0.103,0.378,0.333,0.43,0.153,0.417
77,0.05599999999999999,0.087,0.08199999999999999,0.083,16.1,0.177,0.172,0.483,0.467,0.345,0.208,0.447
83,0.064,0.32,0.104,0.119,15.1,0.16899999999999998,0.24,0.496,0.45,0.467,0.279,0.254
75,0.013,0.087,0.14,0.125,17.8,0.243,0.293,0.485,0.36,0.304,0.358,0.33699999999999997
75,0.009000000000000001,0.092,0.424,0.208,16.8,0.211,0.247,0.529,0.439,0.289,0.29200000000000004,0.419
72,0.018,0.105,0.321,0.126,19.3,0.232,0.183,0.529,0.453,0.341,0.299,0.36
84,0.084,0.135,0.14300000000000002,0.123,14,0.185,0.073,0.514,0,0.002,0.5539999999999999,0.444
83,0.145,0.213,0.081,0.154,10,0.123,0.489,0.558,0,0.003,0.981,0.016
79,0.031,0.17800000000000002,0.083,0.126,15.7,0.201,0.261,0.449,0.399,0.444,0.328,0.228
